[rospy.client][INFO] 2021-10-11 14:58:44,110: init_node, name[/mover], pid[7494]
[xmlrpc][INFO] 2021-10-11 14:58:44,111: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2021-10-11 14:58:44,112: Started XML-RPC server [http://robodrive1:40005/]
[rospy.init][INFO] 2021-10-11 14:58:44,112: ROS Slave URI: [http://robodrive1:40005/]
[rospy.impl.masterslave][INFO] 2021-10-11 14:58:44,113: _ready: http://robodrive1:40005/
[rospy.registration][INFO] 2021-10-11 14:58:44,115: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2021-10-11 14:58:44,115: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2021-10-11 14:58:44,213: registered with master
[rospy.rosout][INFO] 2021-10-11 14:58:44,214: initializing /rosout core topic
[rospy.rosout][INFO] 2021-10-11 14:58:44,226: connected to core topic /rosout
[rospy.simtime][INFO] 2021-10-11 14:58:44,228: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2021-10-11 14:58:44,258: topic[/scan] adding connection to [http://robodrive1:39775/], count 0
[rospy.internal][INFO] 2021-10-11 14:58:44,259: topic[/pose] adding connection to [http://robodrive1:43211/], count 0
[rosout][INFO] 2021-10-11 14:58:44,310: initial Pose information(x,y, theta, v, omega) x=-0.831 y=-0.09 theta=-2.4492935982947064e-16
[rosout][INFO] 2021-10-11 14:58:44,314: Pose information(x,y, theta, v, omega) x=-0.831 y=-0.09 theta=-2.4492935982947064e-16velocity=0.3 omega=0.0
[rosout][INFO] 2021-10-11 14:58:44,723: Pose information(x,y, theta, v, omega) x=-0.831 y=-0.09 theta=-2.4492935982947064e-16velocity=0.3 omega=0.0
[rosout][INFO] 2021-10-11 14:58:44,732: Pose information(x,y, theta, v, omega) x=-0.831 y=-0.091 theta=-2.4492935982947064e-16velocity=0.3 omega=0.0
[rosout][INFO] 2021-10-11 14:58:44,735: Pose information(x,y, theta, v, omega) x=-0.831 y=-0.091 theta=-2.4492935982947064e-16velocity=0.3 omega=0.0
[rosout][INFO] 2021-10-11 14:58:44,739: Pose information(x,y, theta, v, omega) x=-0.831 y=-0.091 theta=-2.4492935982947064e-16velocity=0.3 omega=0.0
[rospy.internal][INFO] 2021-10-11 14:58:44,839: topic[/cmd_vel] adding connection to [/p2os_driver], count 0
[rosout][INFO] 2021-10-11 14:58:44,825: Pose information(x,y, theta, v, omega) x=-0.831 y=-0.091 theta=-2.4492935982947064e-16velocity=0.3 omega=0.0
[rospy.internal][INFO] 2021-10-11 14:58:44,864: topic[/cmd_motor_state] adding connection to [/p2os_driver], count 0
[rospy.internal][INFO] 2021-10-11 14:58:44,873: topic[/rosout] adding connection to [/rosout], count 0
[rosout][INFO] 2021-10-11 14:58:44,925: Pose information(x,y, theta, v, omega) x=-0.831 y=-0.091 theta=-2.4492935982947064e-16velocity=0.3 omega=0.0
